State,State FIPS,County FIPS,IECC Climate Zone,IECC Moisture Regime,BA Climate Zone,County Name
AK,02,013,7,N/A,Very Cold,Aleutians East
AK,02,016,7,N/A,Very Cold,Aleutians West
AK,02,020,7,N/A,Very Cold,Anchorage
AK,02,050,8,N/A,Subarctic,Bethel
AK,02,060,7,N/A,Very Cold,Bristol Bay
AK,02,068,7,N/A,Very Cold,Denali
AK,02,070,8,N/A,Subarctic,Dillingham
AK,02,090,8,N/A,Subarctic,Fairbanks North Star
AK,02,100,7,N/A,Very Cold,Haines
AK,02,105,7,N/A,Very Cold,Hoonah-Angoon
AK,02,110,7,N/A,Very Cold,Juneau
AK,02,122,7,N/A,Very Cold,Kenai Peninsula
AK,02,130,7,N/A,Very Cold,Ketchikan Gateway
AK,02,150,7,N/A,Very Cold,Kodiak Island
AK,02,158,8,N/A,Subarctic,Kusilvak
AK,02,164,7,N/A,Very Cold,Lake and Peninsula
AK,02,170,7,N/A,Very Cold,Matanuska-Susitna
AK,02,180,8,N/A,Subarctic,Nome
AK,02,185,8,N/A,Subarctic,North Slope
AK,02,188,8,N/A,Subarctic,Northwest Arctic
AK,02,195,7,N/A,Very Cold,Petersburg
AK,02,198,7,N/A,Very Cold,Prince of Wales-Hyder
AK,02,220,7,N/A,Very Cold,Sitka
AK,02,230,7,N/A,Very Cold,Skagway
AK,02,240,8,N/A,Subarctic,Southeast Fairbanks
AK,02,261,7,N/A,Very Cold,Valdez-Cordova
AK,02,275,7,N/A,Very Cold,Wrangell
AK,02,282,7,N/A,Very Cold,Yakutat
AK,02,290,8,N/A,Subarctic,Yukon-Koyukuk
AL,01,001,3,A,Hot-Humid,Autauga
AL,01,003,2,A,Hot-Humid,Baldwin
AL,01,005,3,A,Hot-Humid,Barbour
AL,01,007,3,A,Mixed-Humid,Bibb
AL,01,009,3,A,Mixed-Humid,Blount
AL,01,011,3,A,Hot-Humid,Bullock
AL,01,013,3,A,Hot-Humid,Butler
AL,01,015,3,A,Mixed-Humid,Calhoun
AL,01,017,3,A,Mixed-Humid,Chambers
AL,01,019,3,A,Mixed-Humid,Cherokee
AL,01,021,3,A,Mixed-Humid,Chilton
AL,01,023,3,A,Hot-Humid,Choctaw
AL,01,025,3,A,Hot-Humid,Clarke
AL,01,027,3,A,Mixed-Humid,Clay
AL,01,029,3,A,Mixed-Humid,Cleburne
AL,01,031,3,A,Hot-Humid,Coffee
AL,01,033,3,A,Mixed-Humid,Colbert
AL,01,035,3,A,Hot-Humid,Conecuh
AL,01,037,3,A,Mixed-Humid,Coosa
AL,01,039,3,A,Hot-Humid,Covington
AL,01,041,3,A,Hot-Humid,Crenshaw
AL,01,043,3,A,Mixed-Humid,Cullman
AL,01,045,3,A,Hot-Humid,Dale
AL,01,047,3,A,Hot-Humid,Dallas
AL,01,049,3,A,Mixed-Humid,DeKalb
AL,01,051,3,A,Hot-Humid,Elmore
AL,01,053,3,A,Hot-Humid,Escambia
AL,01,055,3,A,Mixed-Humid,Etowah
AL,01,057,3,A,Mixed-Humid,Fayette
AL,01,059,3,A,Mixed-Humid,Franklin
AL,01,061,3,A,Hot-Humid,Geneva
AL,01,063,3,A,Mixed-Humid,Greene
AL,01,065,3,A,Mixed-Humid,Hale
AL,01,067,3,A,Hot-Humid,Henry
AL,01,069,3,A,Hot-Humid,Houston
AL,01,071,3,A,Mixed-Humid,Jackson
AL,01,073,3,A,Mixed-Humid,Jefferson
AL,01,075,3,A,Mixed-Humid,Lamar
AL,01,077,3,A,Mixed-Humid,Lauderdale
